t,c,ch,h,l,mv,ra,se,va,vo
061216,1036.86,-13.21,1036.86,1036.86,116800,-1.26,1544,2175596000000,96098700
061211,1036.95,-13.12,1036.95,1036.95,154300,-1.25,1543,2173078000000,95981900
061206,1037.37,-12.7,1037.37,1037.37,38600,-1.21,1542,2169878000000,95827600
061201,1037.31,-12.76,1037.31,1037.31,40800,-1.22,1541,2168991000000,95789000
061311,1036.64,-13.43,1036.64,1036.64,158500,-1.28,1555,2189591000000,96794800
061306,1036.86,-13.21,1036.86,1036.86,77800,-1.26,1554,2186373000000,96636300
061301,1036.62,-13.45,1036.62,1036.62,41800,-1.28,1553,2185062000000,96558500
061256,1036.55,-13.52,1036.55,1036.55,29800,-1.29,1552,2184300000000,96516700
061251,1036.55,-13.52,1036.55,1036.55,20400,-1.29,1551,2183574000000,96486900
061246,1036.76,-13.31,1036.76,1036.76,25300,-1.27,1550,2183090000000,96466500
061241,1036.64,-13.43,1036.64,1036.64,74800,-1.28,1549,2182453000000,96441200
061236,1036.66,-13.41,1036.66,1036.66,100200,-1.28,1548,2180928000000,96366400
061351,1036.78,-13.29,1036.78,1036.78,102500,-1.27,1563,2206121000000,97542500
061346,1036.39,-13.68,1036.39,1036.39,116700,-1.3,1562,2203866000000,97440000
061341,1036.3,-13.77,1036.3,1036.3,136600,-1.31,1561,2201473000000,97323300
061336,1036.27,-13.8,1036.27,1036.27,21400,-1.31,1560,2198192000000,97186700
061331,1036.72,-13.35,1036.72,1036.72,198900,-1.27,1559,2197708000000,97165300
061326,1036.73,-13.34,1036.73,1036.73,67400,-1.27,1558,2193784000000,96966400
061321,1036.94,-13.13,1036.94,1036.94,53600,-1.25,1557,2192160000000,96899000
061316,1036.42,-13.65,1036.42,1036.42,50600,-1.3,1556,2190644000000,96845400
061426,1036.47,-13.6,1036.47,1036.47,41000,-1.3,1570,2211884000000,97792100
061421,1036.38,-13.69,1036.38,1036.38,46900,-1.3,1569,2210942000000,97751100
061416,1036.56,-13.51,1036.56,1036.56,13900,-1.29,1568,2209833000000,97704200
061411,1036.61,-13.46,1036.61,1036.61,40400,-1.28,1567,2209413000000,97690300
061406,1037.01,-13.06,1037.01,1037.01,22000,-1.24,1566,2208463000000,97649900
061401,1036.84,-13.23,1036.84,1036.84,37100,-1.26,1565,2207955000000,97627900
061356,1036.8,-13.27,1036.8,1036.8,48300,-1.26,1564,2207016000000,97590800
061506,1035.87,-14.2,1035.87,1035.87,22500,-1.35,1578,2221494000000,98197000
061501,1036.09,-13.98,1036.09,1036.09,155500,-1.33,1577,2220952000000,98174500
061456,1036.37,-13.7,1036.37,1036.37,18200,-1.3,1576,2217888000000,98019000
061451,1036.32,-13.75,1036.32,1036.32,73700,-1.31,1575,2216898000000,98000800
061446,1036.26,-13.81,1036.26,1036.26,36700,-1.32,1574,2215193000000,97927100
061441,1036.11,-13.96,1036.11,1036.11,34400,-1.33,1573,2214553000000,97890400
061436,1036.28,-13.79,1036.28,1036.28,43200,-1.31,1572,2213534000000,97856000
061431,1036.47,-13.6,1036.47,1036.47,20700,-1.3,1571,2212535000000,97812800
061541,1035.5,-14.57,1035.5,1035.5,46400,-1.39,1585,2234189000000,98800500
061536,1035.73,-14.34,1035.73,1035.73,23500,-1.37,1584,2233294000000,98754100
061531,1035.47,-14.6,1035.47,1035.47,43800,-1.39,1583,2232699000000,98730600
061526,1035.7,-14.37,1035.7,1035.7,152100,-1.37,1582,2231855000000,98686800
061521,1035.66,-14.41,1035.66,1035.66,53300,-1.37,1581,2228518000000,98534700
061516,1035.75,-14.32,1035.75,1035.75,156600,-1.36,1580,2227613000000,98481400
061511,1035.97,-14.1,1035.97,1035.97,127800,-1.34,1579,2224199000000,98324800
061621,1035.04,-15.03,1035.04,1035.04,18300,-1.43,1593,2258814000000,100007900
061616,1035.15,-14.92,1035.15,1035.15,154400,-1.42,1592,2258304000000,99989600
061611,1035.47,-14.6,1035.47,1035.47,58900,-1.39,1591,2255914000000,99835200
061606,1035.39,-14.68,1035.39,1035.39,205700,-1.4,1590,2254482000000,99776300
061601,1035.45,-14.62,1035.45,1035.45,249300,-1.39,1589,2250179000000,99570600
061556,1035.53,-14.54,1035.53,1035.53,194700,-1.38,1588,2245098000000,99321300
061551,1035.65,-14.42,1035.65,1035.65,75500,-1.37,1587,2241171000000,99126600
061546,1035.76,-14.31,1035.76,1035.76,250600,-1.36,1586,2239333000000,99051100
061656,1034.32,-15.75,1034.32,1034.32,113500,-1.5,1600,2279823000000,100866000
